  No of MC  steps              E_g1g1              E_g1g2              E_g2g2              E_g1h              E_g2h
    10000        -54.65023041       -191.94764709        -73.01760864      -2067.57983398      -2289.96435547      -4412.86474609
    20000        -36.93063736       -190.26707458        -84.21350861      -2058.50927734      -2332.04956055      -4424.39941406
    30000        -66.20087433       -170.09536743        -64.19831085      -2064.65405273      -2297.77587891      -4384.79248047
    40000        -79.15287018       -230.30673218       -137.81008911      -2067.23242188      -2311.50683594      -4437.57861328
    50000        -84.20999146       -188.08920288        -92.65379333      -2060.48120117      -2382.21411133      -4476.51855469
    60000        -44.17750931       -198.91101074       -115.90824127      -2039.62536621      -2301.93066406      -4354.07861328
    70000        -59.33203125       -215.50643921       -110.49548340      -2048.78686523      -2332.06054688      -4444.75048828
    80000        -62.56867218       -189.62918091       -104.76204681      -2044.82067871      -2319.98413086      -4400.78417969
    90000        -51.41325760       -191.67967224       -106.53176117      -2038.65185547      -2302.51855469      -4339.08642578
   100000        -70.81528473       -181.34980774        -76.40129089      -2051.11035156      -2318.78344727      -4356.56689453
   110000        -52.80240250       -186.11537170       -103.86560822      -2062.58081055      -2327.80615234      -4412.05664062
   120000        -76.95149994       -216.44696045       -131.38580322      -2041.99645996      -2296.84570312      -4375.17382812
   130000        -87.02178955       -176.89486694        -96.81224060      -2037.30871582      -2329.85473633      -4406.12402344
   140000        -73.54606628       -206.39872742       -102.37030792      -2058.96020508      -2304.49731445      -4437.07031250
   150000        -41.95280457       -182.71977234       -102.10866547      -2047.31909180      -2303.81494141      -4350.53271484
   160000        -67.48701477       -213.10931396       -125.13459015      -2083.77978516      -2377.30688477      -4517.09716797
   170000        -45.70790482       -211.47297668       -122.48168182      -2061.32543945      -2395.89526367      -4488.92871094
   180000        -98.47164917       -249.70877075       -132.42161560      -2060.00366211      -2278.55468750      -4386.66210938
   190000        -44.72878647       -202.09002686       -101.94459534      -2046.21459961      -2319.98754883      -4362.91308594
   200000        -48.43558121       -237.61059570       -137.12377930      -2065.98852539      -2329.10498047      -4421.11523438
   210000        -55.88736725       -236.65414429       -128.88975525      -2058.11376953      -2329.18212891      -4477.58203125
   220000        -75.28571320       -294.00213623       -203.53497314      -2061.38671875      -2359.22875977      -4505.26757812
   230000        -65.22779846       -245.58891296       -135.62739563      -2075.11889648      -2306.41015625      -4420.62841797
   240000        -44.18187332       -295.40734863       -198.43338013      -2061.77783203      -2347.60717773      -4505.91894531
   250000        -67.56912231       -227.96324158       -165.21891785      -2037.11853027      -2332.68041992      -4413.91455078
   260000        -78.28121185       -264.96972656       -169.22206116      -2050.08569336      -2323.42382812      -4454.40771484
   270000        -63.18401337       -185.36546326        -99.90821838      -2052.33178711      -2345.06030273      -4423.24267578
   280000        -49.12411118       -186.31272888       -114.64321899      -2010.90161133      -2354.27734375      -4379.98046875
   290000        -95.15126038       -195.85202026       -119.20121002      -2043.43237305      -2301.95947266      -4402.36279297
   300000        -76.59534454       -199.94717407       -102.18131256      -2054.62792969      -2370.23046875      -4462.18994141
   310000        -76.37271118       -222.03163147       -121.72843933      -2030.70886230      -2333.31713867      -4437.11816406
   320000        -44.37432480       -146.31343079        -60.73284531      -2060.56542969      -2306.38964844      -4371.80908203
   330000        -56.77454376       -217.43870544       -114.22556305      -2064.96679688      -2312.34741211      -4413.80468750
   340000        -60.20445251       -202.68270874       -122.54731750      -2033.94702148      -2286.99340820      -4326.16748047
   350000        -62.36811447       -217.46006775       -118.52709198      -2037.13916016      -2298.05566406      -4354.43359375
   360000        -68.75157166       -194.03019714       -107.11695099      -2036.15319824      -2343.70703125      -4409.86279297
   370000        -77.21879578       -203.90647888        -98.21717834      -2030.23522949      -2284.53735352      -4355.92382812
   380000        -76.71335602       -269.56307983       -148.95446777      -2035.76672363      -2324.68432617      -4427.75634766
   390000        -61.38222122       -187.95129395        -88.84033203      -2045.82653809      -2332.01855469      -4422.44531250
   400000        -51.93854904       -236.89826965       -112.82350159      -2081.06933594      -2331.30346680      -4438.68847656
   410000        -72.17087555       -193.17126465       -112.07642365      -2031.50549316      -2346.69238281      -4412.84570312
   420000        -53.15728760       -197.13323975       -101.30065918      -2051.15527344      -2293.02465820      -4347.87353516
   430000        -57.79797745       -265.22732544       -163.12117004      -2074.96118164      -2344.05541992      -4506.58105469
   440000        -71.80464172       -205.03352356       -125.42893219      -2036.64404297      -2318.44897461      -4404.84521484
   450000        -94.99323273       -187.99061584       -108.58457184      -2038.56298828      -2292.55566406      -4325.00292969
   460000        -87.53472900       -194.11585999       -112.42126465      -2040.24926758      -2307.88525391      -4399.40429688
   470000        -97.61702728       -195.13023376       -100.13307190      -2069.68408203      -2330.60961914      -4460.30078125
   480000        -70.71341705       -201.26979065       -108.52175903      -2018.66687012      -2320.03759766      -4408.69873047
   490000        -72.74068451       -215.39469910       -114.64711761      -2057.29370117      -2345.47753906      -4446.28076172
   500000        -63.08005905       -200.51060486        -97.22048187      -2065.47119141      -2299.38818359      -4372.11718750
