#	WINDOW	   CAGE		a		b		  c			d	   DISTANCE  
 	   1           1   0.577350259       0.577350259       0.577350259       21.5238476       5.38096237   
           2           1   0.577350259      -0.577350259      -0.577350259       0.00000000      -5.38096189    
           3           1   0.577350259      -0.577350259       0.577350259       0.00000000       5.38096189    
           4           1  -0.577350259      -0.577350259       0.577350259       0.00000000       5.38096189    
           5           2  -0.577350140       0.577350318       0.577350318       14.3492355       5.38096428    
           6           2  -0.577350259       0.577350080      -0.577350438      -7.62939453E-06   5.38096285    
           7           2   0.577350259       0.577350438      -0.577350080       7.62939453E-06   5.38096237    
           8           2   0.577350378       0.577350199       0.577350199       35.8730812       5.38096237    
           9           3   0.577350318      -0.577350140       0.577350318       14.3492355       5.38096428    
           10          3   0.577350080      -0.577350259      -0.577350438      -7.62939453E-06   5.38096285    
           11          3   0.577350438       0.577350259      -0.577350080       7.62939453E-06   5.38096237    
           12          3   0.577350199       0.577350378       0.577350199       35.8730812       5.38096237    
           13          4   0.577350318       0.577350318      -0.577350140       14.3492355       5.38096428    
           14          4   0.577350080      -0.577350438      -0.577350259      -7.62939453E-06   5.38096285    
           15          4   0.577350438      -0.577350080       0.577350259       7.62939453E-06   5.38096285    
           16          4   0.577350199       0.577350199       0.577350378       35.8730774       5.38095856    
           1           5   0.577350259       0.577350259       0.577350259       21.5238476       5.38096428    
           5           5  -0.577350259       0.577350259       0.577350259       14.3492317       5.38096142    
           9           5  -0.577350259       0.577350259      -0.577350259      -14.3492317       5.38096142    
           13          5   0.577350259       0.577350259      -0.577350259       14.3492317       5.38096142    
           2           6   0.577350259      -0.577350259      -0.577350259       0.00000000       5.38096237    
           8           6  -0.577350259      -0.577350259      -0.577350259      -7.17461586       5.38096237    
           11          6  -0.577350259      -0.577350259       0.577350259      -14.3492317       5.38096046    
           15          6   0.577350259      -0.577350259       0.577350259       14.3492317       5.38096142   
           3           7  -0.577350259       0.577350259      -0.577350259       0.00000000       5.38096237    
           7           7   0.577350259       0.577350259      -0.577350259       14.3492317       5.38096046    
           12          7   0.577350259       0.577350259       0.577350259       7.17461586       5.38096237    
           14          7  -0.577350259       0.577350259       0.577350259       14.3492317       5.38096142    
           4           8  -0.577350259      -0.577350259       0.577350259       0.00000000       5.38096237    
           6           8   0.577350259      -0.577350259       0.577350259       14.3492317       5.38096142    
           10          8   0.577350259      -0.577350259      -0.577350259      -14.3492317       5.38096142    
           16          8  -0.577350259      -0.577350259      -0.577350259      -7.17461586      -5.38096237
